    PID TTY          TIME CMD
      1 ?        00:00:02 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?        00:00:00 netns
      8 ?        00:00:00 kworker/0:0H-events_highpri
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_rude_
     12 ?        00:00:00 rcu_tasks_trace
     13 ?        00:00:00 ksoftirqd/0
     14 ?        00:00:00 rcu_sched
     15 ?        00:00:00 migration/0
     16 ?        00:00:00 idle_inject/0
     18 ?        00:00:00 cpuhp/0
     19 ?        00:00:00 cpuhp/1
     20 ?        00:00:00 idle_inject/1
     21 ?        00:00:00 migration/1
     22 ?        00:00:00 ksoftirqd/1
     24 ?        00:00:00 kworker/1:0H-events_highpri
     25 ?        00:00:00 cpuhp/2
     26 ?        00:00:00 idle_inject/2
     27 ?        00:00:00 migration/2
     28 ?        00:00:00 ksoftirqd/2
     29 ?        00:00:00 kworker/2:0-events
     30 ?        00:00:00 kworker/2:0H-events_highpri
     31 ?        00:00:00 cpuhp/3
     32 ?        00:00:00 idle_inject/3
     33 ?        00:00:00 migration/3
     34 ?        00:00:00 ksoftirqd/3
     36 ?        00:00:00 kworker/3:0H-events_highpri
     37 ?        00:00:00 kdevtmpfs
     38 ?        00:00:00 inet_frag_wq
     39 ?        00:00:00 kauditd
     40 ?        00:00:00 khungtaskd
     41 ?        00:00:00 oom_reaper
     42 ?        00:00:00 writeback
     43 ?        00:00:00 kcompactd0
     44 ?        00:00:00 ksmd
     45 ?        00:00:00 khugepaged
     50 ?        00:00:00 kworker/1:1-events
     92 ?        00:00:00 kintegrityd
     93 ?        00:00:00 kblockd
     94 ?        00:00:00 blkcg_punt_bio
     95 ?        00:00:00 tpm_dev_wq
     96 ?        00:00:00 ata_sff
     97 ?        00:00:00 md
     98 ?        00:00:00 edac-poller
     99 ?        00:00:00 devfreq_wq
    100 ?        00:00:00 watchdogd
    101 ?        00:00:00 kworker/u32:1-phy0
    102 ?        00:00:00 kworker/2:1H-kblockd
    103 ?        00:00:00 kworker/2:1-events
    105 ?        00:00:00 kswapd0
    106 ?        00:00:00 ecryptfs-kthrea
    108 ?        00:00:00 kthrotld
    109 ?        00:00:00 kworker/3:1-cgroup_destroy
    110 ?        00:00:00 acpi_thermal_pm
    112 ?        00:00:00 vfio-irqfd-clea
    117 ?        00:00:00 mld
    118 ?        00:00:00 ipv6_addrconf
    120 ?        00:00:00 kworker/1:1H-events_highpri
    121 ?        00:00:00 kworker/0:2-events
    122 ?        00:00:00 kworker/1:2-events
    130 ?        00:00:00 kstrp
    133 ?        00:00:00 zswap-shrink
    134 ?        00:00:00 kworker/u33:0-hci0
    139 ?        00:00:00 charger_manager
    180 ?        00:00:00 kworker/0:1H-kblockd
    188 ?        00:00:00 napi/eth%d-8193
    189 ?        00:00:00 napi/eth%d-8194
    192 ?        00:00:00 scsi_eh_0
    193 ?        00:00:00 scsi_tmf_0
    194 ?        00:00:00 scsi_eh_1
    196 ?        00:00:00 scsi_tmf_1
    203 ?        00:00:00 scsi_eh_2
    205 ?        00:00:00 scsi_tmf_2
    206 ?        00:00:00 kworker/3:1H-kblockd
    207 ?        00:00:00 cryptd
    208 ?        00:00:00 scsi_eh_3
    209 ?        00:00:00 scsi_tmf_3
    210 ?        00:00:00 scsi_eh_4
    211 ?        00:00:00 scsi_tmf_4
    212 ?        00:00:00 scsi_eh_5
    213 ?        00:00:00 scsi_tmf_5
    216 ?        00:00:00 kworker/u32:4-events_unbound
    226 ?        00:00:00 card0-crtc0
    227 ?        00:00:00 card0-crtc1
    298 ?        00:00:00 jbd2/sda3-8
    299 ?        00:00:00 ext4-rsv-conver
    350 ?        00:00:00 systemd-journal
    393 ?        00:00:02 systemd-udevd
    422 ?        00:00:00 led_workqueue
    489 ?        00:00:00 irq/26-mei_me
    533 ?        00:00:00 cfg80211
    561 ?        00:00:00 kworker/3:3-inet_frag_wq
    583 ?        00:00:00 kworker/u33:2-hci0
    600 ?        00:00:00 spl_system_task
    601 ?        00:00:00 spl_delay_taskq
    602 ?        00:00:00 spl_dynamic_tas
    603 ?        00:00:00 spl_kmem_cache
    604 ?        00:00:00 zvol
    605 ?        00:00:00 arc_prune
    606 ?        00:00:00 arc_evict
    607 ?        00:00:00 arc_reap
    608 ?        00:00:00 dbu_evict
    609 ?        00:00:00 dbuf_evict
    610 ?        00:00:00 z_vdev_file
    611 ?        00:00:00 l2arc_feed
    664 ?        00:00:00 systemd-resolve
    667 ?        00:00:00 auditd
    739 ?        00:00:00 accounts-daemon
    740 ?        00:00:00 acpid
    743 ?        00:00:00 avahi-daemon
    745 ?        00:00:00 bluetoothd
    747 ?        00:00:00 cron
    748 ?        00:00:00 dbus-daemon
    749 ?        00:00:00 NetworkManager
